trial_id,title,status,phase,enrollment,enrollment_type,study_type,sponsor,sponsor_class,eligibility_words,start_date,completion_date
NCT02878109,DCE-MRI for Assessment of Response to TACE of HCC,COMPLETED,,40.0,,OBSERVATIONAL,Centre hospitalier de l'Université de Montréal (CHUM),,171,2016-06,
NCT02631499,Efficacy Study of TACE to Treat Hepatocellular Carcinoma After Operation,UNKNOWN,PHASE4,256.0,,INTERVENTIONAL,Fudan University,,172,2015-12,
NCT06015932,Group Cognitive Behavior Sessions (CBCSM) to Decrease Distress in Cancer Patients,RECRUITING,NA,400.0,,INTERVENTIONAL,Mayo Clinic,,98,2017-12-20,
NCT00481832,Autologous Followed by Non-myeloablative Allogeneic Transplantation for Non-Hodgkin's Lymphoma,TERMINATED,PHASE2,50.0,,INTERVENTIONAL,Stanford University,,470,2007-01,
NCT04128332,Pre-operative Stereotactic Ablative Body Radiotherapy Followed by Immediate Surgery for Pancreatic Cancer,UNKNOWN,NA,10.0,,INTERVENTIONAL,CCTU- Cancer Theme,,210,2020-10-26,
NCT04072198,Nivolumab Plus FOLFOXIRI/Bevacizumab in First Line Chemotherapy of Advanced Colorectal Cancer RASm/BRAFm Patients,COMPLETED,PHASE2,73.0,,INTERVENTIONAL,Gruppo Oncologico Italiano di Ricerca Clinica,,702,2019-09-26,
NCT03630198,Pain Outcomes Following Intralesional Corticosteroid Injections,COMPLETED,PHASE4,31.0,,INTERVENTIONAL,Vanderbilt University Medical Center,,29,2018-10-01,
NCT03024398,Evaluation of the Fluorescent Green of Indocyanine in the Detection of Sentinel Lymph Node in Endometrial Cancer,UNKNOWN,,50.0,,OBSERVATIONAL,"University Hospital, Strasbourg, France",,120,2017-01-01,
NCT06820463,"A Study to Evaluate the Adverse Events, and Efficacy of Intravenous (IV) of Telisotuzumab Adizutecan in Combination With IV Oxaliplatin, Fluorouracil, Folinic Acid/Leucovorin, Bevacizumab, Panitumumab in Adult Participants With Metastatic Colorectal Cancer",RECRUITING,PHASE2,390.0,,INTERVENTIONAL,AbbVie,,80,2025-04-24,
NCT04948463,Early Versus Late Stopping of Antibiotics in Children With Cancer and High-risk Febrile Neutropenia,COMPLETED,PHASE4,55.0,,INTERVENTIONAL,Murdoch Childrens Research Institute,,206,2021-11-15,
